url,repository_url,title,body,state,labels,comments,created_at,closed_at,user,_kind
https://api.github.com/repos/langchain-ai/langchain/issues/1,https://api.github.com/repos/numpy/numpy,New flag --serializer for CLI tool,"### Description
Request: auth integration

### Steps to reproduce
1. Install package
2. Call `cache.execute()`
3. Observe error

### Environment
Python 3.12
OS: Ubuntu 22.04
Version: latest",closed,['type: feature'],17,2022-05-13T00:00:00,2022-06-30T00:00:00,user_6202,enhancement
https://api.github.com/repos/langchain-ai/langchain/issues/2,https://api.github.com/repos/pandas-dev/pandas,Fix memory leak in connection pool,"### Description
Race condition in async v3.0 handler

### Steps to reproduce
1. Install package
2. Call `router.execute()`
3. Observe error

### Environment
Python 3.11
OS: macOS 14
Version: 1.2.3",open,"['bug', 'priority: high', 'type: bug']",42,2023-09-22T00:00:00,,user_5068,bug
https://api.github.com/repos/python/cpython/issues/3,https://api.github.com/repos/fastapi/fastapi,Segfault on Python 3.12 with large datasets,"### Description
Regression: serializer broken after vclient.v2.0 upgrade

### Steps to reproduce
1. Install package
2. Call `router.run()`
3. Observe error

### Environment
Python 3.12
OS: Ubuntu 22.04
Version: 1.2.3",open,"['type: bug', 'priority: high', 'needs triage']",8,2023-07-31T00:00:00,,user_2503,bug
https://api.github.com/repos/langchain-ai/langchain/issues/4,https://api.github.com/repos/psf/requests,AttributeError: 'v1.2' object has no attribute 'cache',"### Description
TypeError when calling api with None argument

### Steps to reproduce
1. Install package
2. Call `client.process()`
3. Observe error

### Environment
Python 3.10
OS: Windows 11
Version: 1.2.3",closed,['type: bug'],19,2023-05-24T00:00:00,2023-06-24T00:00:00,user_5675,bug
https://api.github.com/repos/numpy/numpy/issues/5,https://api.github.com/repos/psf/requests,How to configure v1.2 for v2.1?,"### Description
parser does not work as expected — am I missing something?

### Steps to reproduce
1. Install package
2. Call `db.fetch()`
3. Observe error

### Environment
Python 3.12
OS: Ubuntu 22.04
Version: 0.9.8",closed,"['type: question', 'question', 'documentation']",27,2023-06-17T00:00:00,2023-10-06T00:00:00,user_3553,question
https://api.github.com/repos/tiangolo/fastapi/issues/6,https://api.github.com/repos/psf/requests,Request: auth integration,"### Description
Implement v3.0 caching layer

### Steps to reproduce
1. Install package
2. Call `auth.parse()`
3. Observe error

### Environment
Python 3.10
OS: Windows 11
Version: 1.2.3",closed,"['enhancement', 'type: feature']",29,2024-01-17T00:00:00,2024-03-12T00:00:00,user_5640,enhancement
https://api.github.com/repos/pandas-dev/pandas/issues/7,https://api.github.com/repos/pallets/flask,Infinite loop when parsing malformed api,"### Description
Regression: serializer broken after vv2.1.client upgrade

### Steps to reproduce
1. Install package
2. Call `cache.execute()`
3. Observe error

### Environment
Python 3.10
OS: Ubuntu 22.04
Version: latest",closed,"['priority: medium', 'bug']",26,2023-10-10T00:00:00,2023-10-20T00:00:00,user_7465,performance
https://api.github.com/repos/fastapi/fastapi/issues/8,https://api.github.com/repos/langchain-ai/langchain,KeyError raised unexpectedly in auth module,"### Description
Race condition in async v2.0 handler

### Steps to reproduce
1. Install package
2. Call `parser.fetch()`
3. Observe error

### Environment
Python 3.9
OS: Ubuntu 22.04
Version: 0.9.8",open,"['priority: high', 'type: bug', 'needs triage']",22,2023-05-25T00:00:00,,user_9349,bug
https://api.github.com/repos/pallets/flask/issues/9,https://api.github.com/repos/python/cpython,Feature request: expose auth configuration option,"### Description
Add support for v2.0 in api API

### Steps to reproduce
1. Install package
2. Call `api.execute()`
3. Observe error

### Environment
Python 3.10
OS: macOS 14
Version: latest",closed,"['help wanted', 'good first issue', 'type: feature']",38,2023-05-20T00:00:00,2023-08-18T00:00:00,user_8462,enhancement
https://api.github.com/repos/pandas-dev/pandas/issues/10,https://api.github.com/repos/langchain-ai/langchain,KeyError raised unexpectedly in serializer module,"### Description
AttributeError: 'router' object has no attribute 'parser'

### Steps to reproduce
1. Install package
2. Call `parser.fetch()`
3. Observe error

### Environment
Python 3.12
OS: Windows 11
Version: latest",open,"['type: bug', 'needs triage', 'bug']",27,2024-04-07T00:00:00,,user_5143,bug
https://api.github.com/repos/fastapi/fastapi/issues/11,https://api.github.com/repos/tiangolo/fastapi,Segfault on Python 3.12 with large datasets,"### Description
Race condition in async v2.1 handler

### Steps to reproduce
1. Install package
2. Call `api.run()`
3. Observe error

### Environment
Python 3.9
OS: Windows 11
Version: 2.0.1",closed,"['priority: high', 'needs triage', 'type: bug']",25,2022-07-04T00:00:00,2022-09-18T00:00:00,user_6047,bug
https://api.github.com/repos/tiangolo/fastapi/issues/12,https://api.github.com/repos/psf/requests,Feature request: expose serializer configuration option,"### Description
Request: router integration

### Steps to reproduce
1. Install package
2. Call `parser.run()`
3. Observe error

### Environment
Python 3.12
OS: Windows 11
Version: 0.9.8",open,['type: feature'],23,2023-09-17T00:00:00,,user_4053,enhancement
https://api.github.com/repos/python/cpython/issues/13,https://api.github.com/repos/fastapi/fastapi,Segfault on Python 3.12 with large datasets,"### Description
AttributeError: 'server' object has no attribute 'parser'

### Steps to reproduce
1. Install package
2. Call `client.parse()`
3. Observe error

### Environment
Python 3.10
OS: Ubuntu 22.04
Version: 1.2.3",open,"['type: bug', 'bug', 'needs triage']",16,2022-08-27T00:00:00,,user_7697,bug
https://api.github.com/repos/pallets/flask/issues/14,https://api.github.com/repos/python/cpython,Segfault on Python 3.12 with large datasets,"### Description
TypeError when calling auth with None argument

### Steps to reproduce
1. Install package
2. Call `parser.fetch()`
3. Observe error

### Environment
Python 3.9
OS: macOS 14
Version: latest",closed,"['bug', 'priority: high']",30,2023-12-27T00:00:00,2024-01-18T00:00:00,user_8949,bug
https://api.github.com/repos/psf/requests/issues/15,https://api.github.com/repos/pandas-dev/pandas,Support for v1.0 in type hints,"### Description
Add support for v2.0 in v1.2 API

### Steps to reproduce
1. Install package
2. Call `router.run()`
3. Observe error

### Environment
Python 3.10
OS: Windows 11
Version: latest",closed,"['enhancement', 'help wanted', 'good first issue']",31,2022-10-25T00:00:00,2022-11-29T00:00:00,user_8753,enhancement
https://api.github.com/repos/pallets/flask/issues/16,https://api.github.com/repos/pallets/flask,Implement router caching layer,"### Description
New flag --db for CLI tool

### Steps to reproduce
1. Install package
2. Call `cache.process()`
3. Observe error

### Environment
Python 3.12
OS: macOS 14
Version: latest",closed,"['help wanted', 'type: feature']",29,2022-07-18T00:00:00,2022-09-04T00:00:00,user_7583,enhancement
https://api.github.com/repos/pandas-dev/pandas/issues/17,https://api.github.com/repos/psf/requests,Segfault on Python 3.12 with large datasets,"### Description
Race condition in async v2.1 handler

### Steps to reproduce
1. Install package
2. Call `cache.process()`
3. Observe error

### Environment
Python 3.12
OS: Windows 11
Version: 0.9.8",closed,"['type: bug', 'bug', 'priority: high']",0,2022-01-02T00:00:00,2022-04-24T00:00:00,user_6278,bug
